Precio,Habitaciones,Piso,Barrio
212755,1,3,32
387283,3,10,12
744932,1,1,12
763391,4,8,32
660420,3,15,30
106832,3,3,7
32487,4,16,28
946568,1,20,23
574186,5,9,3
481927,5,18,39
250735,3,16,19
90042,3,5,28
971308,4,13,13
265102,3,14,22
183251,3,9,18
200455,5,8,8
779993,4,4,34
431146,4,7,41
313117,4,7,22
478136,3,12,27
142905,5,10,27
39937,1,11,23
234714,5,14,28
68887,3,10,36
635535,4,17,48
373076,3,16,48
508483,1,6,41
514857,4,5,27
948545,5,16,43
904944,3,2,7
535598,2,13,47
178459,2,20,4
688897,2,7,49
161574,1,5,2
998020,2,12,43
150673,5,7,42
614546,1,4,24
205164,1,5,10
939676,3,14,25
920850,1,3,9
99997,4,17,17
351873,2,15,22
506443,4,2,3
548082,2,16,11
110277,5,17,41
638427,2,12,14
346660,4,1,24
55380,1,1,4
948696,2,3,9
479483,1,6,17
281973,4,7,37
324355,5,10,32
240517,4,17,46
121260,2,14,7
405295,1,8,46
410924,4,13,46
722125,2,14,29
150670,4,17,12
679015,2,13,47
192912,2,16,48
521774,2,3,16
290112,1,2,14
398273,4,18,24
358564,3,7,24
144531,2,16,36
852499,3,8,28
542335,3,2,34
998491,3,2,43
34834,4,18,19
910427,5,9,46
728422,4,17,17
213499,2,16,21
565887,2,12,17
76750,5,6,4
591408,5,12,13
56233,1,1,42
495400,1,19,20
475881,1,17,32
407332,5,7,39
116683,2,16,44
370892,4,7,9
145564,5,16,23
701895,5,6,12
659133,3,9,45
820088,4,3,14
752100,4,3,23
455002,4,18,22
271019,5,13,39
782281,4,13,10
616667,4,2,38
751230,4,15,19
174719,1,8,30
258806,4,10,27
852789,1,18,32
280613,1,9,16
443477,2,5,9
891664,3,7,24
50174,2,14,12
819054,3,14,29
751031,4,1,35
405295,4,17,39
965187,2,2,28
937229,1,14,28
893076,2,20,18
847554,5,4,47
596567,3,19,13
583838,2,13,7
428152,3,19,17
781644,1,11,40
889036,1,19,30
595296,4,18,19
352861,4,20,21
972208,4,18,45
624631,3,18,39
601302,3,9,2
457869,5,15,31
458084,2,1,30
495208,2,18,36
592571,2,4,47
57006,1,15,3
284416,1,7,33
990945,3,20,39
739168,4,5,19
688882,2,19,46
878033,5,5,39
295691,3,8,7
310678,1,15,12
151054,1,3,1
510978,2,7,30
81573,4,4,9
619067,5,9,37
610191,4,4,26
698508,4,13,48
856396,2,15,28
432347,1,14,29
304242,5,12,23
860772,1,1,25
405745,1,2,32
309487,1,5,22
482231,3,2,3
152293,5,20,38
664964,3,8,35
28263,1,3,48
762333,4,19,9
957174,2,17,4
294064,2,8,12
829897,4,16,40
186624,2,15,38
196386,3,1,35
909606,3,8,14
910874,3,8,41
856906,1,11,19
644100,1,19,1
900519,1,12,49
579166,5,4,20
771591,2,6,9
998589,4,13,37
527386,1,2,40
202168,3,16,27
705843,4,10,32
868018,2,7,49
140063,4,12,24
898096,1,5,50
813522,5,19,48
222717,2,8,35
179623,5,12,27
434184,2,16,43
878504,3,15,48
483837,4,17,47
450374,3,6,30
875259,1,9,45
610379,2,13,32
510295,3,1,37
261680,4,9,8
790253,3,9,20
264613,3,18,46
166731,5,8,42
778117,1,13,12
134921,1,12,8
474185,1,20,48
664208,5,5,50
123437,4,12,16
381399,3,6,34
710325,4,5,9
971773,2,6,10
867986,4,1,38
999100,4,7,32
476389,4,6,28
321516,3,6,30
297616,4,3,20
831447,5,16,8
397184,1,4,6
310562,5,20,24
737600,3,14,22
658451,3,18,43
398790,3,19,42
911496,5,10,30
638426,4,12,31
832910,5,12,31
432481,2,17,27
608761,5,16,9
388986,4,20,4
319299,1,12,4
819903,5,19,30
926786,1,10,12
278555,3,2,26
676700,4,11,43
201010,5,18,11
748405,1,4,50
947266,5,5,5
233638,4,6,37
894502,4,18,39
942474,4,3,14
483815,2,7,26
788852,3,16,32
366390,4,16,32
313023,5,16,44
234546,4,16,30
606316,2,1,41
385657,5,8,32
33490,2,3,3
434106,1,13,8
709045,5,2,42
761683,4,7,15
79603,5,9,38
880412,1,4,13
150244,2,16,36
355314,4,11,20
949120,3,8,32
64006,5,4,7
538306,1,6,48
921267,5,14,15
293720,1,12,20
951785,3,4,21
705592,3,4,41
257569,1,8,48
810402,4,17,22
142934,1,17,35
109735,3,11,12
116670,3,1,33
755108,2,17,20
415342,2,13,34
942290,2,10,50
669429,4,11,30
961324,4,17,18
523522,3,2,12
308978,1,16,3
562779,2,11,47
208686,1,1,49
613785,1,18,10
768708,4,6,13
765053,3,20,21
325665,2,9,1
372921,1,10,48
88985,4,7,45
245928,1,20,26
254628,5,1,22
528426,5,15,19
829586,5,8,26
651790,2,14,1
818702,1,6,9
425638,2,7,38
896717,1,11,17
232657,3,18,12
832698,5,4,1
391055,2,16,47
659318,4,1,15
665999,4,14,16
157128,4,11,1
699104,3,3,33
430320,5,16,27
432316,5,6,49
156807,5,18,27
792349,1,14,34
39033,2,19,2
124111,3,10,3
570903,3,6,37
800394,3,1,34
553161,3,14,3
165231,3,6,46
454054,1,16,27
971436,4,19,9
372261,3,18,6
182400,4,6,17
888244,4,8,15
176544,2,10,15
59647,1,1,3
770814,2,17,18
769282,3,2,24
989309,2,7,1
534151,2,8,32
986978,3,20,20
800335,3,4,7
894659,4,12,42
111556,4,3,32
669556,5,10,22
629899,4,19,4
261900,5,11,46
803229,1,4,19
456661,1,11,32
263939,4,12,5
364372,2,11,18
721962,2,11,37
875970,2,3,1
960779,1,5,19
367632,3,13,22
990612,2,9,38
860140,4,13,23
110928,5,17,28
372356,3,5,9
879833,2,19,36
134643,5,5,7
808967,5,13,19
535670,2,16,32
724995,5,12,32
656102,5,15,38
890924,4,4,1
430844,2,18,40
580472,4,7,31
159352,3,9,6
816548,1,10,32
546821,1,6,13
274686,2,17,19
561955,1,17,36
124727,2,1,27
407998,4,5,30
224556,3,7,4
896613,3,13,39
109887,1,20,16
883748,1,2,13
99361,3,10,43
376190,4,6,15
289461,2,9,35
165998,5,4,38
794914,1,5,18
472255,1,19,20
815700,1,12,39
251390,4,10,20
54905,1,17,29
463965,5,17,48
418675,5,10,17
598101,1,13,15
988105,2,7,10
490591,1,12,15
875691,5,20,34
553137,3,13,20
885499,2,8,49
788013,1,18,43
102491,5,11,49
189416,1,12,41
356139,4,7,42
568582,5,11,27
72268,4,20,22
982893,5,1,28
577708,4,14,44
889782,3,2,48
375806,3,10,14
364216,3,10,43
422821,4,12,4
462856,2,3,1
785718,1,9,17
552760,3,4,34
489356,3,15,12
703978,3,11,2
182186,3,13,28
582895,1,3,13
701614,2,5,1
752355,4,2,2
980728,3,10,49
179627,3,17,26
705117,5,20,9
949210,1,6,37
512578,4,20,11
776299,1,2,8
865680,1,8,40
963586,5,17,10
671661,4,12,35
442916,2,19,43
142775,3,14,8
406704,2,8,39
609473,5,14,21
292556,5,11,22
29161,3,2,40
531038,2,4,22
494188,1,12,14
292525,5,10,35
798200,2,18,5
894283,5,13,9
926151,2,12,20
217779,4,15,35
258869,5,1,27
382483,1,17,32
810470,2,6,50
330894,3,9,44
129179,1,5,20
159300,3,5,22
926980,1,12,20
402647,3,6,20
73010,3,19,43
305898,5,16,12
684079,5,11,19
877400,1,15,49
368264,4,15,13
610699,5,6,5
220980,4,14,12
226805,2,17,15
83847,2,15,1
418752,2,4,7
739347,1,18,40
878127,4,14,18
179671,2,17,35
722981,5,13,18
666161,1,6,26
324437,1,17,28
702617,1,6,41
474055,5,2,9
86005,4,18,46
484286,5,1,29
646999,5,13,33
441421,3,14,18
234031,1,4,32
540490,2,16,34
652746,1,4,46
132628,4,8,29
785328,4,20,49
613298,2,14,50
507725,3,3,7
344820,3,19,39
563532,3,8,12
541191,1,2,34
170453,5,3,10
718285,5,1,5
990516,1,2,13
282917,1,1,49
481859,5,1,26
494670,1,14,10
441140,2,3,35
737899,4,9,29
95533,5,16,29
724950,3,17,47
621633,5,11,36
491032,4,14,12
410355,1,18,36
217331,2,5,8
813766,1,12,2
909117,5,8,35
184040,4,13,46
267341,1,7,1
668411,5,4,32
582708,5,4,20
603244,2,19,22
758506,4,18,12
591694,3,6,34
822138,2,7,30
92280,4,12,47
269336,3,8,1
550848,3,7,45
968984,3,7,18
119115,5,5,5
282533,1,7,24
752182,1,10,30
721902,3,19,34
722265,5,16,47
811636,5,1,1
625939,3,14,13
403651,4,16,26
745495,1,18,48
206559,1,5,46
941231,1,20,5
273893,4,8,34
395618,5,1,47
52517,2,2,7
79536,3,14,20
159467,4,4,19
942260,5,14,18
819276,1,9,36
194521,3,4,36
869159,1,16,49
313251,2,9,40
424075,4,7,11
506866,4,17,20
393136,3,3,33
923674,4,17,9
217592,4,17,33
315270,2,16,10
469980,1,4,34
877067,5,11,18
803453,1,17,1
536625,4,5,30
683672,3,18,4
798286,2,15,3
353523,2,20,5
71860,5,16,15
910245,2,5,38
273676,5,10,3
437192,5,3,24
893424,5,3,14
390816,2,14,32
852281,3,7,26
441388,2,4,27
915649,2,18,9
754192,4,14,48
331516,3,16,8
796392,5,4,11
185545,2,19,39
936373,5,13,5
586054,5,13,10
532979,5,12,13
660424,1,8,35
712272,2,3,49
293991,3,15,38
669697,3,11,42
724105,3,19,6
759087,1,5,46
888835,4,12,34
997513,4,2,20
725029,3,16,29
342318,4,6,29
624346,5,2,10
665629,5,15,7
235827,1,15,11
285428,1,10,2
863657,5,11,5
997550,1,20,37
756220,3,4,44
260439,1,11,13
258429,5,11,34
774201,4,13,12
828868,1,17,21
869338,5,20,36
181472,5,3,22
586702,4,9,7
537454,3,14,1
239312,5,6,50
412353,5,3,46
298565,2,11,48
242910,5,7,22
426366,4,7,13
880827,3,12,39
114707,5,1,5
982570,3,7,50
624682,4,16,39
334861,1,14,9
408575,3,15,45
64998,1,11,17
65613,1,20,22
469249,4,16,18
859109,1,19,5
704076,4,3,47
46773,2,1,32
136066,4,14,48
704611,5,20,14
194820,4,5,10
60077,5,17,29
169982,3,9,33
878244,3,1,46
688599,1,8,23
381249,5,18,19
902917,4,5,47
264467,4,14,19
115915,5,2,34
739092,5,15,6
195405,2,5,3
817586,3,8,18
810999,2,16,36
309242,2,2,37
742716,2,2,2
397245,3,2,9
26063,4,17,45
361234,4,10,30
638886,3,17,25
418736,3,6,45
28855,5,18,38
464431,5,12,9
26823,2,17,47
992047,3,11,49
119917,2,2,32
760401,3,7,46
571619,3,18,23
119152,3,3,12
566113,1,7,1
809974,2,15,2
236266,1,5,4
896383,1,17,21
78162,2,16,35
606283,1,11,25
398891,5,19,27
289495,1,1,10
168325,1,3,40
954223,3,10,45
253386,5,7,47
929515,5,19,40
273860,3,13,19
118778,2,3,30
701886,3,20,33
85118,1,16,9
496586,4,2,11
854722,4,19,28
365360,3,13,36
142997,3,5,2
218755,5,5,29
293984,1,11,18
514565,5,12,39
540204,1,19,42
331769,3,17,30
893681,4,2,13
513533,1,16,23
351884,4,5,25
132517,5,8,42
482751,3,14,15
100901,2,9,28
505898,2,8,35
958543,2,10,27
527635,3,10,27
38973,2,13,42
567635,4,15,19
392772,4,19,9
27763,1,2,20
476914,2,9,13
574747,5,1,11
288505,5,13,22
326665,3,8,4
736942,3,15,50
490167,3,5,39
246371,5,16,8
395132,3,7,11
867134,2,13,19
540038,5,3,44
535391,2,18,28
435996,1,19,49
30218,5,15,2
802304,1,16,47
272157,2,1,39
498381,4,17,24
